Team,Matches Played,Wins,Draws,Losses,Goals,Goals Against,Points,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPoints,Position,team,logo
Liverpool,22,15,6,1,51,19,51,51.51,45.89,26.19,25.43,20.46,8.18,16.26,267,133,43.67,1,Liverpool,https://cdn.sofifa.net/meta/team/8/60.png
Manchester City,21,14,4,3,51,24,46,47.19,43.38,21.23,19.71,23.68,11.64,20.98,251,92,44.73,2,Manchester City,https://cdn.sofifa.net/meta/team/9/60.png
Arsenal,22,14,4,4,44,21,46,45.47,40.91,20.63,19.11,21.79,9.11,17.34,270,93,44.13,3,Arsenal,https://cdn.sofifa.net/meta/team/19/60.png
Aston Villa,22,13,4,5,44,30,43,41.31,38.27,32.18,32.18,6.09,12.26,10.3,225,141,37.35,4,Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png
Tottenham,22,13,4,5,47,33,43,42.35,41.59,39.18,35.38,6.22,8.1,11.14,288,164,33.59,5,Tottenham,https://cdn.sofifa.net/meta/team/6/60.png
West Ham,21,10,5,6,35,32,35,31.83,29.55,39.1,35.29,-5.75,17.08,9.81,95,227,25.13,6,West Ham,https://cdn.sofifa.net/meta/team/1/60.png
Newcastle United,22,10,2,10,44,33,32,48.18,45.13,37.92,35.51,9.62,10.25,11.54,191,166,37.66,7,Newcastle United,https://cdn.sofifa.net/meta/team/20/60.png
Brighton,22,8,8,6,38,37,32,39.04,35.99,36.55,32.74,3.25,9.07,17.13,237,188,32.13,8,Brighton,https://cdn.sofifa.net/meta/team/78/60.png
Manchester United,21,10,2,9,24,29,32,30.22,27.92,36.87,35.35,-7.43,12.05,13.21,184,167,24.79,9,Manchester United,https://cdn.sofifa.net/meta/team/14/60.png
Chelsea,22,9,4,9,36,35,31,44.49,38.4,34.93,31.87,6.52,9.2,13.79,228,146,36.85,10,Chelsea,https://cdn.sofifa.net/meta/team/18/60.png
Wolverhampton Wanderers,21,8,5,8,30,31,29,29.7,28.94,37.16,33.35,-4.42,12.7,9.64,126,211,24.02,11,Wolverhampton Wanderers,https://cdn.sofifa.net/meta/team/29/60.png
Everton,22,8,4,10,24,28,28,37.82,37.82,33.87,30.06,7.76,13.39,9.97,133,179,33.17,12,Everton,https://cdn.sofifa.net/meta/team/13/60.png
Bournemouth,20,7,4,9,28,39,25,31.43,30.67,35.65,33.21,-2.54,10.58,8.19,164,217,26.2,14,Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png
Brentford,21,6,4,11,31,36,22,38.31,36.02,30.85,30.09,5.93,9.39,10.86,164,187,32.35,16,Brentford,https://cdn.sofifa.net/meta/team/236/60.png
Nottingham Forest,22,5,5,12,27,40,20,26.38,25.61,35.42,33.14,-7.52,18.13,10.05,118,220,24.56,17,Nottingham Forest,https://cdn.sofifa.net/meta/team/63/60.png
Luton,21,5,4,12,28,38,19,27.87,26.35,49.67,48.91,-22.56,14.68,7.51,94,200,18.37,18,Luton,https://cdn.sofifa.net/meta/team/115/60.png
Burnley,22,3,3,16,22,45,12,22.66,21.9,41.2,38.91,-17.01,14.39,12.9,106,209,18.79,19,Burnley,https://cdn.sofifa.net/meta/team/27/60.png
Sheffield United,22,2,4,16,19,54,10,20.69,18.41,48.92,46.64,-28.23,15.07,8.64,99,213,15.11,20,Sheffield United,https://cdn.sofifa.net/meta/team/21/60.png
