team,logo
Manchester City,https://cdn.sofifa.net/meta/team/9/60.png
Arsenal,https://cdn.sofifa.net/meta/team/19/60.png
Liverpool,https://cdn.sofifa.net/meta/team/8/60.png
Manchester United,https://cdn.sofifa.net/meta/team/14/60.png
Newcastle United,https://cdn.sofifa.net/meta/team/20/60.png
Tottenham,https://cdn.sofifa.net/meta/team/6/60.png
Wolverhampton Wanderers,https://cdn.sofifa.net/meta/team/29/60.png
West Ham,https://cdn.sofifa.net/meta/team/1/60.png
Luton,https://cdn.sofifa.net/meta/team/115/60.png
Sheffield United,https://cdn.sofifa.net/meta/team/21/60.png
Crystal Palce,https://cdn.sofifa.net/meta/team/51/60.png
Aston Villa,https://cdn.sofifa.net/meta/team/15/60.png
Chelsea,https://cdn.sofifa.net/meta/team/18/60.png
Brighton,https://cdn.sofifa.net/meta/team/78/60.png
Nottingham Forest,https://cdn.sofifa.net/meta/team/63/60.png
Brentford,https://cdn.sofifa.net/meta/team/236/60.png
Fullham,https://cdn.sofifa.net/meta/team/11/60.png
Everton,https://cdn.sofifa.net/meta/team/13/60.png
Burnley,https://cdn.sofifa.net/meta/team/27/60.png
Bournemouth,https://cdn.sofifa.net/meta/team/52/60.png
